id,asset,spot_price,strike_price,time_to_expiry,risk_free_rate,volatility,option_type,option_price,delta,gamma,theta,vega,calculated_at
1,AAPL,195.758,177.167,1.58141,0.0479055,0.350625,call,49.5761,0.731907,0.00381709,-0.036932,0.811073,2026-05-20T14:08:06Z
2,TSLA,209.997,207.43,0.734046,0.034286,0.4429,put,27.3073,-0.386493,0.0048024,-0.0467192,0.688519,2026-05-20T14:08:06Z
3,SPY,370.154,394.806,1.88325,0.0300234,0.596495,call,116.587,0.655273,0.00121561,-0.0915413,1.871,2026-05-20T14:08:06Z
4,NVDA,523.496,541.031,0.113426,0.0306919,0.386149,put,36.0774,-0.564169,0.00578387,-0.295898,0.694245,2026-05-20T14:08:06Z
5,AMZN,172.79,149.29,1.95014,0.0369831,0.190773,call,38.6559,0.829614,0.00550524,-0.0188024,0.611498,2026-05-20T14:08:06Z
6,AAPL,183.287,176.824,1.96814,0.0440029,0.536973,put,40.7772,-0.294848,0.00249832,-0.0217197,0.886991,2026-05-20T14:08:06Z
7,TSLA,268.031,264.05,0.125203,0.0582661,0.40348,call,18.2176,0.589896,0.0101597,-0.185099,0.368711,2026-05-20T14:08:06Z
8,SPY,429.375,367.025,0.538698,0.0372308,0.457469,put,24.8363,-0.243557,0.0021736,-0.101682,0.987553,2026-05-20T14:08:06Z
9,NVDA,521.999,574.178,0.429393,0.0417318,0.232006,call,16.0692,0.332584,0.00457762,-0.109984,1.24261,2026-05-20T14:08:06Z
10,AMZN,198.386,193.932,0.495089,0.047031,0.164091,put,5.16685,-0.324164,0.0156965,-0.013834,0.501872,2026-05-20T14:08:06Z
11,AAPL,198.96,195.961,0.850785,0.0577998,0.477272,call,40.1355,0.642937,0.00425921,-0.0665112,0.684616,2026-05-20T14:08:06Z
12,TSLA,232.654,237.571,1.08959,0.0588352,0.53004,put,44.8629,-0.361405,0.00291031,-0.0398406,0.909768,2026-05-20T14:08:06Z
13,SPY,494.518,500.406,1.21483,0.0589577,0.423165,call,103.604,0.641095,0.00162032,-0.131674,2.03699,2026-05-20T14:08:06Z
14,NVDA,455.2,427.379,0.414007,0.0304691,0.340531,put,23.9237,-0.324572,0.00360664,-0.104382,1.05359,2026-05-20T14:08:06Z
15,AMZN,172.431,161.749,0.126752,0.0359653,0.470104,call,17.7445,0.689011,0.0122415,-0.120146,0.216878,2026-05-20T14:08:06Z
16,AAPL,195.312,201.521,1.85997,0.0495323,0.561732,put,50.9509,-0.321877,0.00239584,-0.0240594,0.954888,2026-05-20T14:08:06Z
17,TSLA,285.004,280.682,0.281279,0.0411245,0.450979,call,30.7135,0.59167,0.00569722,-0.144469,0.587027,2026-05-20T14:08:06Z
18,SPY,479.866,493.009,0.621971,0.0468373,0.322317,put,47.9769,-0.446148,0.00324071,-0.072571,1.49601,2026-05-20T14:08:06Z
19,NVDA,594.342,656.555,1.47129,0.0370795,0.265231,call,64.7768,0.508376,0.00208596,-0.0951215,2.87541,2026-05-20T14:08:06Z
20,AMZN,146.911,156.196,0.310693,0.0431801,0.240774,put,12.16,-0.613923,0.0194032,-0.0211483,0.313274,2026-05-20T14:08:06Z
21,AAPL,202.703,201.206,1.17022,0.0508655,0.212699,call,25.2785,0.65762,0.00787697,-0.035112,0.805594,2026-05-20T14:08:06Z
22,TSLA,260.442,263.555,0.485816,0.0582856,0.419489,put,27.9492,-0.419801,0.00513271,-0.0620019,0.709514,2026-05-20T14:08:06Z
23,SPY,485.061,540.426,1.28627,0.038869,0.197472,call,31.5199,0.441416,0.00363265,-0.0651014,2.17098,2026-05-20T14:08:06Z
24,NVDA,491.307,449.807,0.891369,0.0564984,0.295955,put,25.3649,-0.262461,0.00237426,-0.0448782,1.51188,2026-05-20T14:08:06Z
25,AMZN,152.79,146.203,1.82297,0.038164,0.441461,call,42.6798,0.687466,0.00388755,-0.0307487,0.730365,2026-05-20T14:08:06Z
26,AAPL,140.036,133.843,0.679084,0.0349397,0.39034,put,13.0234,-0.353745,0.00825449,-0.0277973,0.429081,2026-05-20T14:08:06Z
27,TSLA,248.483,262.828,0.611883,0.0373238,0.225731,call,13.8857,0.460079,0.00904703,-0.0492608,0.771542,2026-05-20T14:08:06Z
28,SPY,399.378,406.339,0.867289,0.0319468,0.264262,put,36.8731,-0.434307,0.00400376,-0.0426828,1.46364,2026-05-20T14:08:06Z
29,NVDA,449.375,475.839,1.45331,0.0344426,0.598983,call,125.541,0.637252,0.00115594,-0.129901,2.03202,2026-05-20T14:08:06Z
30,AMZN,163.208,186.544,0.88097,0.0309915,0.305282,put,30.1184,-0.590119,0.00831213,-0.0175318,0.595469,2026-05-20T14:08:06Z
31,AAPL,184.405,194.401,1.10878,0.0434335,0.398802,call,30.3123,0.57884,0.00505087,-0.0465145,0.75947,2026-05-20T14:08:06Z
32,TSLA,259.27,226.668,0.802343,0.0372648,0.511413,put,26.4803,-0.278378,0.00282627,-0.057995,0.77956,2026-05-20T14:08:06Z
33,SPY,444.654,509.141,0.857766,0.054493,0.509255,call,67.623,0.519059,0.00190008,-0.157826,1.64105,2026-05-20T14:08:06Z
34,NVDA,430.144,431.202,1.42204,0.0557508,0.296682,put,43.6102,-0.346776,0.00242568,-0.0246705,1.8935,2026-05-20T14:08:06Z
35,AMZN,159.857,169.983,1.63805,0.04046,0.193279,call,16.0878,0.55698,0.00998545,-0.0211445,0.807879,2026-05-20T14:08:06Z
36,AAPL,205.837,199.512,1.08373,0.0551313,0.454061,put,28.5032,-0.334045,0.00374018,-0.0300642,0.779779,2026-05-20T14:08:06Z
37,TSLA,273.522,249.649,1.12875,0.0508735,0.252848,call,50.1413,0.754286,0.00428512,-0.0498436,0.914963,2026-05-20T14:08:06Z
38,SPY,391.492,448.121,1.08161,0.0378249,0.598314,put,120.805,-0.436536,0.00161689,-0.0912946,1.60371,2026-05-20T14:08:06Z
39,NVDA,593.084,603.456,1.77701,0.0356612,0.275492,call,98.4591,0.621328,0.00174627,-0.0902449,3.00706,2026-05-20T14:08:06Z
40,AMZN,194.426,214.646,1.72702,0.0421352,0.549497,put,58.1572,-0.372658,0.00269545,-0.0270674,0.966943,2026-05-20T14:08:06Z
41,AAPL,199.565,225.646,1.59215,0.0500696,0.411309,call,37.5054,0.570022,0.00379233,-0.0454616,0.989069,2026-05-20T14:08:06Z
42,TSLA,237.228,268.552,1.94996,0.0385176,0.287414,put,44.905,-0.468596,0.0041771,-0.0101315,1.31747,2026-05-20T14:08:06Z
43,SPY,447.41,440.488,1.98947,0.0352778,0.158134,call,59.2546,0.690087,0.00353482,-0.0483529,2.22609,2026-05-20T14:08:06Z
44,NVDA,498.779,450.72,0.796291,0.0523251,0.474423,put,49.1536,-0.29136,0.00162462,-0.0967374,1.52688,2026-05-20T14:08:06Z
45,AMZN,166.18,168.301,1.06675,0.04909,0.262708,call,21.004,0.611,0.0085029,-0.0330309,0.658053,2026-05-20T14:08:06Z
46,AAPL,181.291,207.337,1.02481,0.057183,0.345477,put,33.88,-0.516514,0.00628666,-0.0138044,0.731536,2026-05-20T14:08:06Z
47,TSLA,235.008,245.238,1.37096,0.055925,0.253583,call,31.3836,0.603791,0.00552275,-0.0438008,1.06039,2026-05-20T14:08:06Z
48,SPY,449.855,459.572,1.56025,0.0313081,0.597548,put,123.121,-0.340899,0.00109235,-0.0844111,2.06099,2026-05-20T14:08:06Z
49,NVDA,493.989,461.32,1.77864,0.0524316,0.578882,call,177.09,0.724223,0.000876135,-0.124097,2.20132,2026-05-20T14:08:06Z
50,AMZN,167.814,170.47,1.18736,0.0594099,0.183906,put,9.04236,-0.354264,0.0110624,-0.0032852,0.680271,2026-05-20T14:08:06Z
51,AAPL,161.399,146.433,0.610102,0.0445584,0.317709,call,26.2887,0.734264,0.00818935,-0.0407557,0.413506,2026-05-20T14:08:06Z
52,TSLA,239.469,264.198,1.86703,0.0321125,0.244013,put,37.2135,-0.47935,0.00498986,-0.0099664,1.30363,2026-05-20T14:08:06Z
53,SPY,480.806,460.417,0.582911,0.0388587,0.295148,call,58.8746,0.657438,0.00339154,-0.120945,1.3489,2026-05-20T14:08:06Z
54,NVDA,569.734,507.625,1.44693,0.0465846,0.28343,put,32.8717,-0.239866,0.00159996,-0.0355136,2.12984,2026-05-20T14:08:06Z
55,AMZN,174.224,161.482,1.26188,0.0324478,0.152333,call,23.3463,0.778958,0.0099585,-0.0195982,0.581061,2026-05-20T14:08:06Z
56,AAPL,183.953,167.081,0.234788,0.0419035,0.172846,put,0.714183,-0.095441,0.0110081,-0.0131472,0.151168,2026-05-20T14:08:06Z
57,TSLA,288.662,247.754,1.19984,0.0431542,0.452412,call,82.1708,0.745579,0.00224208,-0.0681116,1.01412,2026-05-20T14:08:06Z
58,SPY,419.067,375.699,1.9655,0.055168,0.537182,put,74.345,-0.252836,0.00101291,-0.043065,1.87816,2026-05-20T14:08:06Z
59,NVDA,450.05,387.786,0.676204,0.0461125,0.296993,call,87.5768,0.804968,0.00250869,-0.0961002,1.02046,2026-05-20T14:08:06Z
60,AMZN,203.607,189.652,1.93398,0.043718,0.52891,put,40.7042,-0.281212,0.00225243,-0.0240497,0.955145,2026-05-20T14:08:06Z
61,AAPL,153.607,149.522,1.42907,0.0341506,0.209735,call,21.0339,0.665498,0.00945395,-0.0210382,0.668589,2026-05-20T14:08:06Z
62,TSLA,296.954,316.071,0.178028,0.0419646,0.345084,put,27.3461,-0.619585,0.00880911,-0.10242,0.477226,2026-05-20T14:08:06Z
63,SPY,493.928,457.011,0.450234,0.0324262,0.342742,call,68.4102,0.697161,0.00307388,-0.145191,1.15723,2026-05-20T14:08:06Z
64,NVDA,537.7,466.432,1.83891,0.0432706,0.257904,put,26.6258,-0.209274,0.00152944,-0.0237945,2.09716,2026-05-20T14:08:06Z
65,AMZN,150.759,136.416,1.87577,0.0491481,0.382513,call,43.4488,0.735244,0.00414521,-0.0279585,0.675986,2026-05-20T14:08:06Z
66,AAPL,185.998,182.408,1.48707,0.0314315,0.404717,put,29.4409,-0.351617,0.00404176,-0.0232066,0.841531,2026-05-20T14:08:06Z
67,TSLA,215.865,191.267,0.749571,0.032754,0.192371,call,32.7507,0.830739,0.00701895,-0.0297335,0.471614,2026-05-20T14:08:06Z
68,SPY,416.054,475.905,0.433128,0.0305148,0.493514,put,87.8233,-0.583447,0.00288742,-0.139122,1.06838,2026-05-20T14:08:06Z
69,NVDA,561.383,535.498,0.98288,0.0494932,0.171627,call,67.5737,0.741639,0.00338471,-0.0903336,1.79938,2026-05-20T14:08:06Z
70,AMZN,212.338,236.971,0.595698,0.0304591,0.570046,put,49.7536,-0.495306,0.00427,-0.0727719,0.653765,2026-05-20T14:08:06Z
71,AAPL,175.073,177.141,1.39953,0.0484755,0.574751,call,50.2435,0.663661,0.00306523,-0.0512727,0.755722,2026-05-20T14:08:06Z
72,TSLA,294.425,326.859,1.30917,0.0540285,0.454726,put,66.6513,-0.422604,0.00255512,-0.0344552,1.31858,2026-05-20T14:08:06Z
73,SPY,463.206,411.582,1.64129,0.0546192,0.431673,call,141.091,0.74289,0.00125892,-0.0993303,1.91376,2026-05-20T14:08:06Z
74,NVDA,564.085,589.72,0.4927,0.0382188,0.246565,put,47.1501,-0.524501,0.0040787,-0.072165,1.57662,2026-05-20T14:08:06Z
